Name,Gender,Nationality,Location,Age,School year,Study hours,Family financial status,Family size,Parents education,School distance to house,Dropped subject,Failed subject,Love of subject,1st_year_grade_1st_sem,1st_year_grade_2nd_sem,2nd_year_grade_1st_sem,2nd_year_grade_2nd_sem,3rd_year_grade_1st_sem,3rd_year_grade_2nd_sem,G11_grade,G12_grade,Class
HAHCJ,M,SPANISH,Butuan City,19,fifth year,12,above average,small,both educated,12km-15km,3,3,INTEREST,2.0,2.0,1.0,5.0,2.25,1.5,71,84,M
WENUB,M,ENGLISH,Butuan City,24,first year,11,below average,large,both educated,15km-18km,0,1,INTEREST,1.75,2.75,5.0,2.5,1.75,1.0,88,93,H
HADYW,M,CANADIAN,Toronto,18,fifth year,9,below average,large,one educated,10km-12km,4,2,INTEREST,5.0,2.25,5.0,1.5,2.75,2.25,91,91,L
FDRKV,F,ENGLISH,Toronto,20,third year,12,below average,medium,none educated,12km-15km,0,0,OWN,1.75,5.0,5.0,2.25,3.0,1.5,78,66,M
HKWYW,M,FILIPINO,Toronto,19,third year,7,above average,large,one educated,15km-18km,2,1,OWN,1.0,5.0,1.75,2.25,1.25,2.25,79,74,L
PIJKJ,F,AMERICAN,Butuan City,18,second year,6,below average,medium,one educated,5km-7km,2,3,RECOMMENDED,3.0,2.25,1.25,1.75,2.25,1.0,72,70,H
LJUKH,M,ENGLISH,Madrid,20,second year,10,average,small,one educated,15km-18km,0,1,OWN,1.25,1.25,1.0,5.0,2.25,3.0,75,95,H
GHIQN,M,AMERICAN,Butuan City,19,third year,12,below average,medium,one educated,15km-18km,4,0,INTEREST,2.25,1.0,5.0,1.75,2.0,1.5,96,74,M
NOYCG,F,FILIPINO,New York,23,second year,6,average,medium,both educated,15km-18km,4,0,INTEREST,3.0,2.75,2.5,2.5,1.25,1.25,100,91,L
YNBHM,M,CANADIAN,Butuan City,25,first year,10,average,medium,none educated,10km-12km,1,0,RECOMMENDED,1.0,1.5,2.75,2.0,1.0,1.0,74,93,L
